Store,Category,SalesP,Conversion,StarP,Eficiencia,group,month
Algarrobo,SalesPBueno,21455,16.07,14.30,9.00,high,Junio
Algarrobo,ConversionBueno,21455,16.07,14.30,9.00,high,Junio
Algarrobo,StarRegular,21455,16.07,14.30,9.00,medium,Junio
Algarrobo,EficienciaRegular,21455,16.07,14.30,9.00,medium,Junio
Algarrobo,SalesPBueno,17400,15.03,11.62,7.00,high,Julio
Algarrobo,ConversionRegular,17400,15.03,11.62,7.00,medium,Julio
Algarrobo,StarMalo,17400,15.03,11.62,7.00,low,Julio
Algarrobo,EficienciaBueno,17400,15.03,11.62,7.00,high,Julio
Algarrobo,SalesPBueno,22607,18.49,19.63,9.00,high,Agosto
Algarrobo,ConversionBueno,22607,18.49,19.63,9.00,high,Agosto
Algarrobo,StarRegular,22607,18.49,19.63,9.00,medium,Agosto
Algarrobo,EficienciaRegular,22607,18.49,19.63,9.00,medium,Agosto
Algarrobo,SalesPBueno,23252,20.03,18.28,10.00,high,Septiembre
Algarrobo,ConversionBueno,23252,20.03,18.28,10.00,high,Septiembre
Algarrobo,StarRegular,23252,20.03,18.28,10.00,medium,Septiembre
Algarrobo,EficienciaRegular,23252,20.03,18.28,10.00,medium,Septiembre
Algarrobo,SalesPBueno,21815,17.08,18.11,8.00,high,Octubre
Algarrobo,ConversionBueno,21815,17.08,18.11,8.00,high,Octubre
Algarrobo,StarRegular,21815,17.08,18.11,8.00,medium,Octubre
Algarrobo,EficienciaBueno,21815,17.08,18.11,8.00,high,Octubre
Los Olmos,SalesPBueno,19766,17.56,25.51,15.00,high,Junio
Los Olmos,ConversionBueno,19766,17.56,25.51,15.00,high,Junio
Los Olmos,StarBueno,19766,17.56,25.51,15.00,high,Junio
Los Olmos,EficienciaRegular,19766,17.56,25.51,15.00,medium,Junio
Los Olmos,SalesPBueno,25794,20.91,24.23,9.00,high,Julio
Los Olmos,ConversionBueno,25794,20.91,24.23,9.00,high,Julio
Los Olmos,StarBueno,25794,20.91,24.23,9.00,high,Julio
Los Olmos,EficienciaRegular,25794,20.91,24.23,9.00,medium,Julio
Los Olmos,SalesPBueno,17383,15.55,15.70,12.00,high,Agosto
Los Olmos,ConversionRegular,17383,15.55,15.70,12.00,medium,Agosto
Los Olmos,StarRegular,17383,15.55,15.70,12.00,medium,Agosto
Los Olmos,EficienciaRegular,17383,15.55,15.70,12.00,medium,Agosto
Los Olmos,SalesPRegular,15681,15.53,15.18,11.00,medium,Septiembre
Los Olmos,ConversionRegular,15681,15.53,15.18,11.00,medium,Septiembre
Los Olmos,StarRegular,15681,15.53,15.18,11.00,medium,Septiembre
Los Olmos,EficienciaRegular,15681,15.53,15.18,11.00,medium,Septiembre
Los Olmos,SalesPRegular,14214,12.55,12.08,9.00,medium,Octubre
Los Olmos,ConversionRegular,14214,12.55,12.08,9.00,medium,Octubre
Los Olmos,StarMalo,14214,12.55,12.08,9.00,low,Octubre
Los Olmos,EficienciaRegular,14214,12.55,12.08,9.00,medium,Octubre
Campo Lindo,SalesPRegular,7568,10.84,14.13,15.00,medium,Junio
Campo Lindo,ConversionRegular,7568,10.84,14.13,15.00,medium,Junio
Campo Lindo,StarRegular,7568,10.84,14.13,15.00,medium,Junio
Campo Lindo,EficienciaRegular,7568,10.84,14.13,15.00,medium,Junio
Campo Lindo,SalesPRegular,7998,9.91,12.82,8.00,medium,Julio
Campo Lindo,ConversionMalo,7998,9.91,12.82,8.00,low,Julio
Campo Lindo,StarRegular,7998,9.91,12.82,8.00,medium,Julio
Campo Lindo,EficienciaBueno,7998,9.91,12.82,8.00,high,Julio
Campo Lindo,SalesPRegular,8474,11.03,15.23,12.00,medium,Agosto
Campo Lindo,ConversionRegular,8474,11.03,15.23,12.00,medium,Agosto
Campo Lindo,StarRegular,8474,11.03,15.23,12.00,medium,Agosto
Campo Lindo,EficienciaRegular,8474,11.03,15.23,12.00,medium,Agosto
Campo Lindo,SalesPRegular,7906,11.86,12.37,11.00,medium,Septiembre
Campo Lindo,ConversionRegular,7906,11.86,12.37,11.00,medium,Septiembre
Campo Lindo,StarMalo,7906,11.86,12.37,11.00,low,Septiembre
Campo Lindo,EficienciaRegular,7906,11.86,12.37,11.00,medium,Septiembre
Campo Lindo,SalesPRegular,8913,12.31,12.42,11.00,medium,Octubre
Campo Lindo,ConversionRegular,8913,12.31,12.42,11.00,medium,Octubre
Campo Lindo,StarMalo,8913,12.31,12.42,11.00,low,Octubre
Campo Lindo,EficienciaRegular,8913,12.31,12.42,11.00,medium,Octubre
